Date,Time,Temperature (Celsius)
02/25/2017,11:16:12.197,32.06
02/25/2017,11:16:42.318,32.06
02/25/2017,11:17:12.374,32.04
02/25/2017,11:17:42.447,31.97
02/25/2017,11:18:12.558,32.02
02/25/2017,11:18:42.648,31.97
02/25/2017,11:19:12.707,31.94
02/25/2017,11:19:42.807,31.89
02/25/2017,11:20:12.874,31.96
02/25/2017,11:20:42.954,31.95
02/25/2017,11:21:13.017,32.0
02/25/2017,11:21:43.105,31.91
02/25/2017,11:22:13.227,31.91
02/25/2017,11:22:43.287,31.91
02/25/2017,11:23:13.380,32.0
02/25/2017,11:23:43.449,32.05
02/25/2017,11:24:13.510,31.95
02/25/2017,11:24:43.612,31.94
02/25/2017,11:25:13.727,32.02
02/25/2017,11:25:43.792,31.91
02/25/2017,11:26:13.846,31.8
02/25/2017,11:26:43.946,31.79
02/25/2017,11:27:14.030,31.67
02/25/2017,11:27:44.098,31.62
02/25/2017,11:28:14.190,31.62
02/25/2017,11:28:44.332,31.59
02/25/2017,11:29:14.374,31.53
02/25/2017,11:29:44.435,31.67
02/25/2017,11:30:14.517,31.8
02/25/2017,11:30:44.593,31.83
02/25/2017,11:31:14.712,31.89
02/25/2017,11:31:44.771,31.89
02/25/2017,11:32:14.873,31.94
02/25/2017,11:32:44.936,31.97
02/25/2017,11:33:15.017,31.94
02/25/2017,11:33:45.082,31.91
02/25/2017,11:34:15.208,31.93
02/25/2017,11:34:45.276,32.02
02/25/2017,11:35:15.353,32.11
02/25/2017,11:35:45.437,32.17
02/25/2017,11:36:15.518,32.19
02/25/2017,11:36:45.593,32.25
02/25/2017,11:37:15.678,32.19
02/25/2017,11:37:45.779,32.22
02/25/2017,11:38:15.865,32.24
02/25/2017,11:38:45.914,32.16
02/25/2017,11:39:16.020,32.04
02/25/2017,11:39:46.104,31.92
02/25/2017,11:40:16.143,31.86
02/25/2017,11:40:46.252,31.83
02/25/2017,11:41:16.336,31.78
02/25/2017,11:41:46.448,31.7
02/25/2017,11:42:16.487,31.64
02/25/2017,11:42:46.628,31.62
02/25/2017,11:43:16.649,31.59
02/25/2017,11:43:46.728,31.57
02/25/2017,11:44:16.799,31.55
02/25/2017,11:44:46.923,31.55
02/25/2017,11:45:16.977,31.46
02/25/2017,11:45:47.085,31.36
02/25/2017,11:46:17.176,31.29
02/25/2017,11:46:47.210,31.27
02/25/2017,11:47:17.346,31.21
02/25/2017,11:47:47.411,31.29
02/25/2017,11:48:17.510,31.28
02/25/2017,11:48:47.570,31.27
02/25/2017,11:49:17.642,31.32
02/25/2017,11:49:47.715,31.33
02/25/2017,11:50:17.810,31.29
02/25/2017,11:50:47.913,31.24
02/25/2017,11:51:17.979,31.15
02/25/2017,11:51:48.183,31.09
02/25/2017,11:52:18.174,30.95
02/25/2017,11:52:48.224,30.75
02/25/2017,11:53:18.318,30.61
02/25/2017,11:53:48.386,30.46
02/25/2017,11:54:18.460,30.38
02/25/2017,11:54:48.555,30.36
02/25/2017,11:55:18.652,30.35
02/25/2017,11:55:48.721,30.23
02/25/2017,11:56:18.779,30.19
02/25/2017,11:56:48.900,30.19
02/25/2017,11:57:19.335,30.19
02/25/2017,11:57:49.030,30.12
02/25/2017,11:58:19.146,30.08
02/25/2017,11:58:49.211,29.98
02/25/2017,11:59:19.306,29.97
02/25/2017,11:59:49.358,29.93
02/25/2017,12:00:19.432,29.91
02/25/2017,12:00:49.529,29.9
02/25/2017,12:01:19.640,29.91
02/25/2017,12:01:49.721,29.93
02/25/2017,12:02:19.780,29.98
02/25/2017,12:02:49.861,30.02
02/25/2017,12:03:19.934,30.03
02/25/2017,12:03:50.021,29.87
02/25/2017,12:04:20.122,29.77
02/25/2017,12:04:50.180,29.63
02/25/2017,12:05:20.267,29.63
02/25/2017,12:05:50.363,29.41
02/25/2017,12:06:20.445,29.45
02/25/2017,12:06:50.500,29.38
02/25/2017,12:07:20.615,29.39
02/25/2017,12:07:50.707,29.28
02/25/2017,12:08:20.768,29.19
02/25/2017,12:08:50.875,29.14
02/25/2017,12:09:20.955,29.15
02/25/2017,12:09:51.001,29.17
02/25/2017,12:10:21.123,29.06
02/25/2017,12:10:51.171,28.92
02/25/2017,12:11:21.246,28.97
02/25/2017,12:11:51.335,28.94
02/25/2017,12:12:21.404,29.03
02/25/2017,12:12:51.540,29.07
02/25/2017,12:13:23.443,29.05
02/25/2017,12:13:51.678,29.0
02/25/2017,12:14:21.778,29.0
02/25/2017,12:14:51.835,29.05
02/25/2017,12:15:21.942,29.04
02/25/2017,12:15:52.023,29.07
02/25/2017,12:16:22.114,29.17
02/25/2017,12:16:52.162,29.17
02/25/2017,12:17:22.258,29.25
02/25/2017,12:17:52.464,29.34
02/25/2017,12:18:22.414,29.36
02/25/2017,12:18:52.506,29.4
02/25/2017,12:19:22.619,29.45
02/25/2017,12:19:52.658,29.53
02/25/2017,12:20:22.860,29.63
02/25/2017,12:20:52.818,29.65
02/25/2017,12:21:22.921,29.8
02/25/2017,12:21:52.995,29.91
02/25/2017,12:22:23.076,29.93
02/25/2017,12:22:53.219,29.98
02/25/2017,12:23:23.245,30.03
02/25/2017,12:23:53.323,30.03
02/25/2017,12:24:23.430,30.12
02/25/2017,12:24:53.477,30.13
02/25/2017,12:25:23.574,30.2
02/25/2017,12:25:53.640,30.32
02/25/2017,12:26:23.748,30.35
02/25/2017,12:26:53.794,30.4
02/25/2017,12:27:23.881,30.46
02/25/2017,12:27:53.961,30.61
02/25/2017,12:28:24.458,30.71
02/25/2017,12:28:54.137,30.81
02/25/2017,12:29:24.234,30.84
02/25/2017,12:29:54.549,30.9
02/25/2017,12:30:24.373,31.01
