Date,Time,Brightness (LUX)
02/25/2017,09:55:51.678,59
02/25/2017,09:55:52.192,59
02/25/2017,09:55:52.729,36
02/25/2017,09:55:53.188,29
02/25/2017,09:55:53.678,11
02/25/2017,09:55:54.168,20
02/25/2017,09:55:54.674,9
02/25/2017,09:55:55.176,15
02/25/2017,09:55:55.676,9
02/25/2017,09:55:56.173,15
02/25/2017,09:55:56.688,18
02/25/2017,09:55:57.173,18
02/25/2017,09:55:57.665,10
02/25/2017,09:55:58.160,9
02/25/2017,09:55:58.670,10
02/25/2017,09:55:59.182,10
02/25/2017,09:55:59.679,15
02/25/2017,09:56:00.185,10
02/25/2017,09:56:00.679,45
02/25/2017,09:56:01.157,43
02/25/2017,09:56:01.673,15
02/25/2017,09:56:02.178,6
02/25/2017,09:56:02.693,7
02/25/2017,09:56:03.203,9
02/25/2017,09:56:03.651,47
02/25/2017,09:56:04.156,58
02/25/2017,09:56:04.687,32
02/25/2017,09:56:05.181,29
02/25/2017,09:56:05.709,29
02/25/2017,09:56:06.189,49
02/25/2017,09:56:06.712,47
02/25/2017,09:56:07.206,33
02/25/2017,09:56:07.660,42
02/25/2017,09:56:08.164,44
02/25/2017,09:56:08.680,46
02/25/2017,09:56:09.169,38
02/25/2017,09:56:09.724,41
02/25/2017,09:56:10.185,71
02/25/2017,09:56:10.696,68
02/25/2017,09:56:11.194,67
02/25/2017,09:56:11.690,67
02/25/2017,09:56:12.195,70
02/25/2017,09:56:12.696,65
02/25/2017,09:56:13.202,70
02/25/2017,09:56:13.670,67
02/25/2017,09:56:14.179,73
02/25/2017,09:56:14.685,73
02/25/2017,09:56:15.181,74
02/25/2017,09:56:15.673,81
02/25/2017,09:56:16.179,7
02/25/2017,09:56:16.687,9
02/25/2017,09:56:17.163,0
02/25/2017,09:56:17.697,0
02/25/2017,09:56:18.155,1
02/25/2017,09:56:18.659,0
02/25/2017,09:56:19.165,3
02/25/2017,09:56:19.663,3
02/25/2017,09:56:20.172,0
02/25/2017,09:56:20.667,1
02/25/2017,09:56:21.190,3
02/25/2017,09:56:21.686,7
02/25/2017,09:56:22.209,4
02/25/2017,09:56:22.706,4
02/25/2017,09:56:23.206,0
02/25/2017,09:56:23.663,0
02/25/2017,09:56:24.164,0
02/25/2017,09:56:24.655,1
02/25/2017,09:56:25.182,12
02/25/2017,09:56:25.668,12
02/25/2017,09:56:26.166,6
02/25/2017,09:56:26.680,0
02/25/2017,09:56:27.199,3
02/25/2017,09:56:27.656,0
02/25/2017,09:56:28.158,4
