Date,Time,Contact State
02/25/2017,08:04:18.378,NOT_WORN
02/25/2017,09:53:16.601,WORN
02/25/2017,09:53:56.135,WORN
02/25/2017,09:55:44.856,WORN
02/25/2017,12:36:22.355,WORN
02/25/2017,01:12:23.596,WORN
02/25/2017,01:46:03.889,WORN
02/25/2017,05:39:18.680,NOT_WORN
02/25/2017,08:32:39.451,WORN
02/25/2017,10:29:38.907,WORN
02/25/2017,10:43:20.093,WORN
